"","site.type","TPI.gen","TRI.gen","month","temp.soil.mean.monthly","temp.soil.median.monthly","temp.soil.min.monthly","temp.soil.max.monthly","temp.soil.se.monthly","temp.ground.mean.monthly","temp.ground.median.monthly","temp.ground.min.monthly","temp.ground.max.monthly","temp.ground.se.monthly","temp.air.mean.monthly","temp.air.median.monthly","temp.air.min.monthly","temp.air.max.monthly","temp.air.se.monthly","moisture.soil.mean.monthly","moisture.soil.median.monthly","moisture.soil.min.monthly","moisture.soil.max.monthly","moisture.soil.se.monthly","date"
"1","concave.gentle","concave","gentle",6,18.0739141812866,17.8541666666667,14.646,21.435625,0.508400809322286,18.0666486111111,18.7534375,13.6068421052632,20.3452083333333,0.508200438578891,15.7800123538012,15.8445833333333,12.4263157894737,17.6108333333333,0.375787726716051,2.61407602339181,2.59583333333333,1.92526315789474,3.36666666666667,0.117966924469197,2025-06-01
"2","concave.gentle","concave","gentle",7,18.1589642018779,17.9247916666667,14.288125,23.4255208333333,0.280138911677684,17.6223738262911,17.4885416666667,14.0279166666667,22.1434375,0.268485883804533,15.9610431338028,15.6833333333333,13.0775,19.8290625,0.209364963343734,6.6168720657277,6.04479166666667,1.9,19.8927083333333,0.463792295798386,2025-07-01
"3","concave.gentle","concave","gentle",8,16.9850100806452,16.7097916666667,11.7695833333333,21.9570833333333,0.361308217686211,15.9710416666667,16.1897395833333,10.7653125,21.2605208333333,0.326436242055365,14.803934811828,15.1033854166667,9.4815625,19.2966666666667,0.303277447040137,6.50784610215054,4.65677083333333,0.661458333333333,35.9270833333333,1.04526705141316,2025-08-01
"4","concave.gentle","concave","gentle",9,13.6368793402778,13.3884895833333,11.6428125,16.3392708333333,0.294319304347723,13.5525737847222,13.4134895833333,11.4903125,15.9875,0.245848833783655,12.8361328125,12.8359895833333,10.9479166666667,14.9230208333333,0.207272206222803,19.5740451388889,20.3197916666667,12.6614583333333,27.3875,1.03330410589095,2025-09-01
"5","concave.rugged","concave","rugged",6,18.414276754386,18.0644791666667,15.0158947368421,22.3690625,0.542028541251471,18.0049543859649,18.5653125,13.554,20.6469791666667,0.502522233501577,16.0371040935673,16.3376041666667,12.8109473684211,17.7602083333333,0.361357706140699,0.560521929824561,0.110416666666667,0,1.84166666666667,0.196173619179667,2025-06-01
"6","concave.rugged","concave","rugged",7,18.4920552434457,18.2589583333333,14.2004166666667,24.328125,0.243316605888585,18.3126240636704,18.5520833333333,13.974375,23.278125,0.243651913267043,16.6517848782772,16.6064583333333,13.3825,20.1044791666667,0.191367004221038,2.35543071161049,1.7125,0,15.059375,0.296777111412943,2025-07-01
"7","concave.rugged","concave","rugged",8,18.2434408602151,18.0021875,11.7408333333333,23.6666666666667,0.405347815057509,17.626782594086,18.4590104166667,11.0051041666667,23.074375,0.388521298826475,15.9881905241935,16.6786979166667,9.56510416666667,21.2146875,0.352073517974071,3.68439180107527,1.0796875,0,26.1010416666667,0.898867099816757,2025-08-01
"8","concave.rugged","concave","rugged",9,15.3720052083333,14.4770833333333,11.9010416666667,20.8795833333333,0.609688125293526,15.3459809027778,15.2132291666667,12.4528125,20.0104166666667,0.42981378043536,14.0118489583333,13.8213020833333,11.8616666666667,17.7259375,0.330061902555409,14.0831597222222,14.2046875,6.99791666666667,22.1552083333333,0.726704769444435,2025-09-01
"9","convex.gentle","convex","gentle",6,17.1583185672515,16.9613541666667,14.4211578947368,20.1483333333333,0.44348923894731,17.019269371345,17.1927083333333,13.9773684210526,19.1554166666667,0.401571600908604,15.4362031432749,15.700625,12.3875789473684,17.1138541666667,0.342990522234969,5.57293713450292,4.590625,2.62421052631579,9.1,0.654495972193666,2025-06-01
"10","convex.gentle","convex","gentle",7,17.6530141129032,17.7048958333333,13.9830208333333,22.07875,0.186622889491486,17.438998655914,17.4119791666667,13.3595833333333,21.874375,0.204374988681832,16.1669097222222,15.9165625,13.0369791666667,19.7953125,0.174578313149823,7.93564068100358,6.09270833333333,0.578125,25.5635416666667,0.605600926123879,2025-07-01
"11","convex.gentle","convex","gentle",8,17.0643402777778,17.485,12.5426041666667,20.6664583333333,0.228662897185243,16.3690456989247,17.1189583333333,11.4941666666667,20.8379166666667,0.259690674192388,15.3215613799283,15.8033333333333,10.054375,19.97375,0.252960527590067,6.49017697132617,3.69375,0.125,36.3010416666667,0.953951754945808,2025-08-01
"12","convex.gentle","convex","gentle",9,14.1780671296296,13.9845833333333,11.8653125,16.5578125,0.213216717709488,14.0610503472222,13.7900520833333,12.2414583333333,16.9009375,0.21023297634107,13.4398321759259,13.259375,11.5873958333333,15.760625,0.182962330315864,21.9826967592593,21.6807291666667,13.6427083333333,33.009375,0.728357822452769,2025-09-01
"13","convex.rugged","convex","rugged",6,17.6978532894737,17.5315625,14.9598958333333,20.0555208333333,0.420434108725986,17.7292884502924,18.3172916666667,14.4975789473684,19.3997916666667,0.426163990429805,15.9147495614035,16.2884375,12.73,18.03875,0.392395898728567,3.05905263157895,4.04166666666667,0,5.334375,0.593716803908052,2025-06-01
"14","convex.rugged","convex","rugged",7,18.0591913082437,18.0479166666667,13.79875,22.1080208333333,0.203468140217212,17.9826534498208,18.094375,13.5677083333333,21.9096875,0.224102371040699,16.6054838709677,16.498125,13.0032291666667,20.1028125,0.198629358680507,4.48663754480287,5.06354166666667,0,11.0072916666667,0.334408039429396,2025-07-01
"15","convex.rugged","convex","rugged",8,17.302830421147,17.5751041666667,12.0748958333333,20.8764583333333,0.250562347019857,16.869936155914,17.2313541666667,11.6914583333333,21.5045833333333,0.281354848863437,15.8157482078853,16.0215625,10.9979166666667,21.1144791666667,0.273666153711008,5.86274641577061,4.45208333333333,0,29.7458333333333,0.777156445350473,2025-08-01
"16","convex.rugged","convex","rugged",9,14.0443113425926,14.1186979166667,11.9066666666667,17.0992708333333,0.239447986243083,14.2594733796296,13.8008333333333,12.2539583333333,17.0322916666667,0.24407736828904,13.6815248842593,13.2081770833333,11.9926041666667,16.1777083333333,0.216208376404032,17.5895543981481,17.9989583333333,5.790625,29.9875,1.01887618398538,2025-09-01
