"","site.type","TPI.gen","TRI.gen","SiteID","month","temp.soil.mean.monthly","temp.soil.median.monthly","temp.soil.min.monthly","temp.soil.max.monthly","temp.soil.se.monthly","temp.ground.mean.monthly","temp.ground.median.monthly","temp.ground.min.monthly","temp.ground.max.monthly","temp.ground.se.monthly","temp.air.mean.monthly","temp.air.median.monthly","temp.air.min.monthly","temp.air.max.monthly","temp.air.se.monthly","moisture.soil.mean.monthly","moisture.soil.median.monthly","moisture.soil.min.monthly","moisture.soil.max.monthly","moisture.soil.se.monthly","date"
"1","concave.gentle","concave","gentle","CR10",6,16.43595,16.8247916666667,14.646,17.6611458333333,0.584469953612114,16.1260975877193,16.8798958333333,13.6068421052632,17.2230208333333,0.677116205838231,14.8155756578947,15.5061458333333,12.4263157894737,15.8445833333333,0.632221074776976,2.26643421052632,2.28842105263158,2.09375,2.359375,0.046314883431836,2025-06-01
"2","concave.gentle","concave","gentle","CR10",7,16.6029301075269,16.5535416666667,14.288125,18.9741666666667,0.239812894722139,16.4158635752688,16.2042708333333,14.0279166666667,19.1909375,0.289749307757889,15.3178494623656,15.2028125,13.0775,18.1241666666667,0.262361078108502,8.38951612903226,7.57604166666667,1.9,19.8927083333333,0.692265018585785,2025-07-01
"3","concave.gentle","concave","gentle","CR10",8,15.1663071236559,15.5580208333333,11.7695833333333,17.3420833333333,0.297236852229556,14.9543951612903,15.4717708333333,10.7653125,18.42625,0.400237904944222,14.1768380376344,14.8196875,9.4815625,17.6908333333333,0.40439821186871,7.63279569892473,5.23020833333333,4.33229166666667,26.665625,1.01072585483791,2025-08-01
"4","concave.gentle","concave","gentle","CR10",9,12.4632725694444,12.3121354166667,11.6428125,13.4516666666667,0.177864719189618,12.8637673611111,12.7865104166667,11.4903125,14.6739583333333,0.256563282038056,12.3735329861111,12.1480208333333,10.9479166666667,14.270625,0.259582281815575,14.9261284722222,14.5041666666667,12.6614583333333,18.815625,0.535044189146754,2025-09-01
"5","concave.gentle","concave","gentle","CR11",6,20.0925449561404,20.27125,18.4515789473684,21.435625,0.54562143949995,18.9564302631579,19.2913541666667,16.7065263157895,20.0823958333333,0.611037015187609,15.8108063596491,16.2765625,13.6870526315789,16.9066666666667,0.575029993811745,2.86046929824561,3.07083333333333,1.92526315789474,3.36666666666667,0.266183881488409,2025-06-01
"6","concave.gentle","concave","gentle","CR11",7,20.0534442204301,19.9972916666667,16.2783333333333,23.4255208333333,0.351879671972189,18.7799865591398,18.5207291666667,14.3413541666667,22.1434375,0.386881445266485,16.5486794354839,16.5586458333333,13.22625,19.8290625,0.312125926288904,3.97442876344086,3.71458333333333,2.19895833333333,7.14375,0.218448807189991,2025-07-01
"7","concave.gentle","concave","gentle","CR11",8,18.8037130376344,19.379375,13.7479166666667,21.9570833333333,0.471185361799459,16.987688172043,17.3783333333333,11.8086458333333,21.2605208333333,0.451941884357929,15.4310315860215,16.0032291666667,11.1969791666667,19.2966666666667,0.429285509673229,5.38289650537634,1.659375,0.661458333333333,35.9270833333333,1.82681075164923,2025-08-01
"8","concave.gentle","concave","gentle","CR11",9,14.8104861111111,15.1565625,13.2816666666667,16.3392708333333,0.283163474659131,14.2413802083333,14.0836979166667,12.79,15.9875,0.317280401414705,13.2987326388889,13.0390104166667,11.9176041666667,14.9230208333333,0.270862516891553,24.2219618055556,24.1104166666667,21.8239583333333,27.3875,0.500885166775926,2025-09-01
"9","concave.gentle","concave","gentle","CR12",6,17.6932475877193,17.8541666666667,15.8888421052632,19.005,0.590733153617026,19.1174179824561,19.7453125,16.5806315789474,20.3452083333333,0.681591246165747,16.7136550438596,17.2077083333333,14.6344210526316,17.6108333333333,0.549286456348065,2.71532456140351,2.81979166666667,2.15578947368421,3.00520833333333,0.158641695437422,2025-06-01
"10","concave.gentle","concave","gentle","CR12",7,16.9932060185185,16.7655208333333,14.5225,19.531875,0.563325056615825,17.7907986111111,17.4885416666667,14.859375,21.7851041666667,0.866506922071197,16.1524074074074,15.3982291666667,13.6597916666667,19.674375,0.739522949340429,9.61284722222222,10.0729166666667,2.92395833333333,17.553125,1.60012325235997,2025-07-01
"11","concave.rugged","concave","rugged","CR07",6,17.3209315789474,17.7379166666667,15.7371578947368,18.0644791666667,0.434102317699587,18.3033434210526,18.7489583333333,15.9848421052632,19.2161458333333,0.590051755115733,16.2413793859649,16.5864583333333,14.5221052631579,16.9051041666667,0.435210834820556,0.111885964912281,0.110416666666667,0.00526315789473684,0.190625,0.0331066701682589,2025-06-01
"12","concave.rugged","concave","rugged","CR07",7,17.5477587365591,17.7290625,14.3963541666667,19.6347916666667,0.243885995240723,18.3487634408602,18.5902083333333,14.206875,21.6760416666667,0.354693443755887,16.5720295698925,16.5595833333333,13.3825,20.0189583333333,0.300333124923123,1.7664314516129,1.07708333333333,0,6.375,0.323098333501376,2025-07-01
"13","concave.rugged","concave","rugged","CR07",8,16.3874092741935,17.2902083333333,11.7408333333333,19.1392708333333,0.394063130169115,16.8363709677419,18.2038541666667,11.0051041666667,20.7561458333333,0.533856620243002,15.3031081989247,16.4120833333333,9.56510416666667,19.2473958333333,0.488484188516831,2.87311827956989,0,0,24.9947916666667,1.30019764479703,2025-08-01
"14","concave.rugged","concave","rugged","CR07",9,12.8152430555556,12.6205729166667,11.9010416666667,13.6666666666667,0.190337369647519,13.8069791666667,13.5234895833333,12.4528125,15.2579166666667,0.249573104915639,12.9494010416667,12.7934895833333,11.8616666666667,14.4044791666667,0.245489712044685,15.40546875,15.2182291666667,12.8989583333333,19.140625,0.521605316847599,2025-09-01
"15","concave.rugged","concave","rugged","CR08",6,17.3418456140351,17.9314583333333,15.0158947368421,18.7502083333333,0.724592287648492,16.5462166666667,17.6376041666667,13.554,17.8704166666667,0.821451162382049,15.2495019736842,16.0467708333333,12.8109473684211,16.3376041666667,0.66835715891912,0.00145833333333333,0,0,0.00729166666666667,0.00145833333333333,2025-06-01
"16","concave.rugged","concave","rugged","CR08",7,17.3001967592593,17.0609375,14.2004166666667,20.3658333333333,0.335601533459347,17.0507330246914,16.845625,13.974375,20.3211458333333,0.390591443971875,15.9885223765432,16.0259375,13.4185416666667,19.15375,0.32629495739875,0.497530864197531,0,0,4.21770833333333,0.213648652265335,2025-07-01
"17","concave.rugged","concave","rugged","CR09",6,20.5800530701754,20.7629166666667,18.1754736842105,22.3690625,0.782523636163664,19.1653030701754,19.9094791666667,16.0754736842105,20.6469791666667,0.858933617105293,16.6204309210526,17.320625,14.0568421052632,17.7602083333333,0.695984863804182,1.56822149122807,1.70208333333333,1.04631578947368,1.84166666666667,0.143748285933951,2025-06-01
"18","concave.rugged","concave","rugged","CR09",7,20.4744220430108,20.7222916666667,16.0110416666667,24.328125,0.390031527542097,19.3755510752688,19.4430208333333,15.4666666666667,23.278125,0.418392486456561,17.3092204301075,17.2792708333333,14.3320833333333,20.1044791666667,0.332338792671477,4.56260080645161,3.42916666666667,1.7125,15.059375,0.573346603413903,2025-07-01
"19","concave.rugged","concave","rugged","CR09",8,20.0994724462366,21.1315625,14.1501041666667,23.6666666666667,0.532201616858121,18.4171942204301,18.8161458333333,12.2992708333333,23.074375,0.53591559499803,16.6732728494624,17.2713541666667,11.5504166666667,21.2146875,0.483922284168095,4.49566532258065,1.49270833333333,0.711458333333333,26.1010416666667,1.24552030336402,2025-08-01
"20","concave.rugged","concave","rugged","CR09",9,17.9287673611111,17.93453125,15.2875,20.8795833333333,0.574181250827451,16.8849826388889,16.01421875,14.7710416666667,20.0104166666667,0.528791760012017,15.074296875,14.5664583333333,13.3765625,17.7259375,0.435970307649766,12.7608506944444,12.7244791666667,6.99791666666667,22.1552083333333,1.27217767151253,2025-09-01
"21","convex.gentle","convex","gentle","CR04",6,18.7690811403509,18.8851041666667,16.8089473684211,20.1483333333333,0.621943243884549,17.9642576754386,18.4805208333333,15.4836842105263,19.1554166666667,0.678872269678505,16.1920125,16.619375,14.126,17.1138541666667,0.548815147779552,4.69730263157895,4.590625,4.38125,5.40526315789474,0.181182449555766,2025-06-01
"22","convex.gentle","convex","gentle","CR04",7,18.9410551075269,18.9047916666667,15.4201041666667,22.07875,0.306160292006121,18.3116565860215,18.1434375,14.976875,21.874375,0.35916443153051,16.7209173387097,16.7470833333333,14.0658333333333,19.3135416666667,0.302872337488198,7.37056451612903,5.48333333333333,3.81145833333333,20.5395833333333,0.791345644990591,2025-07-01
"23","convex.gentle","convex","gentle","CR04",8,17.8952755376344,18.7932291666667,13.1984375,20.6664583333333,0.434875548899931,16.5558501344086,17.1189583333333,11.6395833333333,20.8379166666667,0.47995801251706,15.5321673387097,16.4326041666667,11.213125,19.97375,0.467515674162634,7.20292338709677,3.14791666666667,2.40625,35.41875,1.71912300477553,2025-08-01
"24","convex.gentle","convex","gentle","CR04",9,14.6446440972222,14.6851041666667,13.0041666666667,16.5578125,0.367986722317308,14.1622743055556,13.8288541666667,12.9576041666667,16.5797916666667,0.376545750801357,13.5988020833333,13.1327083333333,12.4460416666667,15.7151041666667,0.320099324568237,23.2467881944444,22.7291666666667,19.46875,30.2885416666667,0.890017601247742,2025-09-01
"25","convex.gentle","convex","gentle","CR05",6,15.9093565789474,16.2136458333333,14.4211578947368,16.9613541666667,0.480395430996033,16.3335975877193,17.0528125,14.1268421052632,17.1927083333333,0.585226848223759,15.3463311403509,15.934375,13.3289473684211,16.1280208333333,0.531230663470558,8.89375,8.92291666666667,8.68541666666667,9.1,0.0708386946500442,2025-06-01
"26","convex.gentle","convex","gentle","CR05",7,16.5372748655914,16.7572916666667,13.9830208333333,18.9852083333333,0.263252964525539,16.9536290322581,16.8620833333333,13.3595833333333,20.2180208333333,0.33340439581539,16.2199764784946,16.1939583333333,13.1505208333333,19.7953125,0.304760903976504,11.3758064516129,8.55104166666667,5.096875,25.5635416666667,1.12279478909406,2025-07-01
"27","convex.gentle","convex","gentle","CR05",8,16.0439448924731,16.354375,12.5426041666667,18.1892708333333,0.344553343827063,16.2167170698925,17.1304166666667,11.5384375,20.4076041666667,0.442951620371594,15.4721135752688,15.9145833333333,11.191875,19.7857291666667,0.43646650684475,8.03323252688172,4.390625,3.69375,36.3010416666667,1.67709982081521,2025-08-01
"28","convex.gentle","convex","gentle","CR05",9,13.2162152777778,13.2323958333333,11.8653125,14.9380208333333,0.306153296477702,13.7193142361111,13.3755208333333,12.2414583333333,15.8126041666667,0.344366442616605,13.3976041666667,13.1058854166667,12.0694791666667,15.4492708333333,0.319867551218051,24.8907118055556,24.4114583333333,20.2989583333333,33.009375,1.08942714953212,2025-09-01
"29","convex.gentle","convex","gentle","CR06",6,16.7965179824561,17.2814583333333,14.7886315789474,18.0402083333333,0.613379808801222,16.7599528508772,17.6333333333333,13.9773684210526,17.7895833333333,0.729568997827049,14.7702657894737,15.5779166666667,12.3875789473684,15.700625,0.629398775344673,3.12775877192982,3.21875,2.62421052631579,3.31770833333333,0.128954606393338,2025-06-01
"30","convex.gentle","convex","gentle","CR06",7,17.4807123655914,17.5492708333333,14.8042708333333,19.898125,0.244121376883257,17.0517103494624,17.0272916666667,13.7275,19.8991666666667,0.325394446173127,15.5598353494624,15.3653125,13.0369791666667,18.7276041666667,0.270506221276836,5.06055107526882,2.87708333333333,0.578125,16.7947916666667,0.898083349232198,2025-07-01
"31","convex.gentle","convex","gentle","CR06",8,17.2538004032258,17.685,13.67,19.6651041666667,0.338061488036496,16.3345698924731,16.8315625,11.4941666666667,20.0483333333333,0.438062724801103,14.9604032258065,15.3351041666667,10.054375,18.8145833333333,0.415984707648057,4.234375,0.665625,0.125,28.7875,1.5291338347852,2025-08-01
"32","convex.gentle","convex","gentle","CR06",9,14.6733420138889,14.63546875,13.4135416666667,16.1459375,0.280374537790244,14.3015625,14.090625,12.6996875,16.9009375,0.380404038681854,13.3230902777778,13.32078125,11.5873958333333,15.760625,0.333254896847308,17.8105902777778,18.234375,13.6427083333333,21.8270833333333,0.767124198210873,2025-09-01
"33","convex.rugged","convex","rugged","CR01",6,18.3601934210526,18.6502083333333,16.4028421052632,19.6310416666667,0.621205845395615,18.1839953947368,19.1066666666667,15.6677894736842,19.3997916666667,0.701565256300483,17.0082070175439,17.7559375,14.8693684210526,18.03875,0.589770513030605,0,0,0,0,0,2025-06-01
