"site.type","month","n","temp.soil.mean","temp.soil.mean.dt","temp.soil.se.daily","temp.ground.mean","temp.ground.mean.dt","temp.ground.se.daily","moisture.soil.mean","moisture.soil.mean.dt","moisture.soil.se.daily"
"concave.gentle",6,15,18.0739141812866,0.173701964847797,0.508400809322283,18.0666486111111,0.166436394672357,0.508200438578887,2.61407602339181,-15.2861361930469,0.117966924469197
"concave.gentle",7,71,18.1589642018779,0.182818337186815,0.280138911677684,17.6223738262911,-0.353772038400034,0.268485883804533,6.6168720657277,-11.3592737989634,0.463792295798386
"concave.gentle",8,62,16.9850100806452,-0.367558042951215,0.36130821768621,15.9710416666667,-1.38152645692971,0.326436242055365,6.50784610215054,-10.8447220214458,1.04526705141316
"concave.gentle",9,24,13.6368793402778,-0.630157370960081,0.294319304347723,13.5525737847222,-0.714462926515644,0.245848833783655,19.5740451388889,5.30700842765103,1.03330410589095
"concave.rugged",6,15,18.414276754386,0.514064537947203,0.542028541251474,18.0049543859649,0.104742169526164,0.502522233501577,0.560521929824561,-17.3396902866142,0.196173619179667
"concave.rugged",7,89,18.4920552434457,0.392426514520439,0.243316605888586,18.3126240636704,0.212995334745155,0.243651913267043,2.35543071161049,-15.7441980173148,0.296777111412944
"concave.rugged",8,62,18.243440860215,0.890872736618671,0.405347815057508,17.626782594086,0.274214470489646,0.388521298826475,3.68439180107527,-13.6681763225211,0.898867099816757
"concave.rugged",9,24,15.3720052083333,1.10496849709546,0.609688125293526,15.3459809027778,1.07894419153992,0.429813780435362,14.0831597222222,-0.18387698901565,0.726704769444435
"convex.gentle",6,15,17.1583185672515,-0.741893649187297,0.443489238947312,17.019269371345,-0.880942845093736,0.401571600908604,5.57293713450292,-12.3272750819358,0.654495972193666
"convex.gentle",7,93,17.6530141129032,-0.458282629545437,0.186622889491486,17.438998655914,-0.672298086534685,0.204374988681831,7.93564068100358,-10.1756560614451,0.605600926123879
"convex.gentle",8,93,17.0643402777778,-0.288227845818603,0.228662897185243,16.3690456989247,-0.983522424671647,0.259690674192388,6.49017697132617,-10.8623911522702,0.953951754945808
"convex.gentle",9,36,14.1780671296296,-0.0889695816082395,0.213216717709487,14.0610503472222,-0.205986364015639,0.210232976341071,21.9826967592593,7.71566004802139,0.728357822452771
"convex.rugged",6,15,17.6978532894737,-0.202358926965076,0.420434108725985,17.7292884502924,-0.170923766146356,0.426163990429805,3.05905263157895,-14.8411595848598,0.593716803908052
"convex.rugged",7,93,18.0591913082437,-0.0521054342049379,0.203468140217212,17.9826534498208,-0.128643292627876,0.2241023710407,4.48663754480287,-13.6246591976458,0.334408039429396
"convex.rugged",8,93,17.302830421147,-0.049737702449425,0.250562347019857,16.869936155914,-0.482631967682402,0.281354848863438,5.86274641577061,-11.4898217078258,0.777156445350473
"convex.rugged",9,36,14.0443113425926,-0.222725368645275,0.239447986243083,14.2594733796296,-0.00756333160823915,0.24407736828904,17.5895543981482,3.32251768691029,1.01887618398538
