"site.type","month","day","n","date","temp.soil.mean","temp.soil.mean.dt","temp.soil.se.daily","temp.ground.mean","temp.ground.mean.dt","temp.ground.se.daily","moisture.soil.mean","moisture.soil.mean.dt","moisture.soil.se.daily"
"concave.gentle",6,26,3,2025-06-26,16.3288070175439,0.41436660360224,1.12038455067773,15.6313333333334,-0.28310708060826,1.01289781001358,2.12315789473684,-13.7912825192048,0.106096699737978
"concave.gentle",6,26,3,2025-06-26,16.3288070175439,0.41436660360224,1.12038455067773,15.6313333333334,-0.28310708060826,1.01289781001358,2.12315789473684,-13.7912825192048,0.106096699737978
"concave.gentle",6,26,3,2025-06-26,16.3288070175439,0.41436660360224,1.12038455067773,15.6313333333334,-0.28310708060826,1.01289781001358,2.12315789473684,-13.7912825192048,0.106096699737978
"concave.gentle",6,27,3,2025-06-27,17.2409027777778,0.118539481123347,1.10500810498622,17.8090972222222,0.686733925567781,0.996559457370056,2.53159722222222,-14.5907660744322,0.0870323426383736
"concave.gentle",6,27,3,2025-06-27,17.2409027777778,0.118539481123347,1.10500810498622,17.8090972222222,0.686733925567781,0.996559457370056,2.53159722222222,-14.5907660744322,0.0870323426383736
"concave.gentle",6,27,3,2025-06-27,17.2409027777778,0.118539481123347,1.10500810498622,17.8090972222222,0.686733925567781,0.996559457370056,2.53159722222222,-14.5907660744322,0.0870323426383736
"concave.gentle",6,28,3,2025-06-28,18.3167361111111,0.223058939566222,1.02143634636898,18.6388541666667,0.545176995121756,0.889188835569224,2.73993055555556,-15.3537466159894,0.217792492151004
"concave.gentle",6,28,3,2025-06-28,18.3167361111111,0.223058939566222,1.02143634636898,18.6388541666667,0.545176995121756,0.889188835569224,2.73993055555556,-15.3537466159894,0.217792492151004
"concave.gentle",6,28,3,2025-06-28,18.3167361111111,0.223058939566222,1.02143634636898,18.6388541666667,0.545176995121756,0.889188835569224,2.73993055555556,-15.3537466159894,0.217792492151004
"concave.gentle",6,29,3,2025-06-29,19.1158680555555,0.274943012854581,1.01414661690538,19.1722222222222,0.331297179521248,0.981308024081602,2.85381944444444,-15.9871055982565,0.308582114661881
